TITLE;AUTHOR;YEAR;COUNTRY;LANGUAGE;IMAGE;WIKIPEDIA
Absalom, Absalom!;William Faulkner;1936;United States;English;absalom-absalom.jpg;https://en.wikipedia.org/wiki/Absalom,_Absalom!
A Doll's House;Henrik Ibsen;1879;Norway;Norwegian;a-Dolls-house.jpg;https://en.wikipedia.org/wiki/A_Doll%27s_House
Anna Karenina;Leo Tolstoy;1877;Russia;Russian;anna-karenina.jpg;https://en.wikipedia.org/wiki/Anna_Karenina
Beloved;Toni Morrison;1987;United States;English;beloved.jpg;https://en.wikipedia.org/wiki/Beloved_(novel)
Berlin Alexanderplatz;Alfred Döblin;1929;Germany;German;berlin-alexanderplatz.jpg;https://en.wikipedia.org/wiki/Berlin_Alexanderplatz
Blindness;José Saramago;1995;Portugal;Portuguese;blindness.jpg;https://en.wikipedia.org/wiki/Blindness_(novel)
Bostan;Saadi;1257;Persia;Persian;bostan.jpg;https://en.wikipedia.org/wiki/Bustan_(book)
Buddenbrooks;Thomas Mann;1901;Germany;German;buddenbrooks.jpg;https://en.wikipedia.org/wiki/Buddenbrooks
Children of Gebelawi;Naguib Mahfouz;1959;Egypt;Arabic;children-of-gebelawi.jpg;https://en.wikipedia.org/wiki/Children_of_Gebelawi
Confessions of Zeno;Italo Svevo;1923;Italy;Italian;confessions-of-zeno.jpg;https://en.wikipedia.org/wiki/Zeno%27s_Conscience
Crime and Punishment;Fyodor Dostoevsky;1866;Russia;Russian;crime-and-punishment.jpg;https://en.wikipedia.org/wiki/Crime_and_Punishment
Dead Souls;Nikolai Gogol;1842;Russia;Russian;dead-souls.jpg;https://en.wikipedia.org/wiki/Dead_Souls
Diary of a Madman;Lu Xun;1918;China;Chinese;diary-of-a-madman.jpg;https://en.wikipedia.org/wiki/A_Madman%27s_Diary
Don Quijote De La Mancha;Miguel de Cervantes;1610;Spain;Spanish;don-quijote-de-la-mancha.jpg;https://en.wikipedia.org/wiki/Don_Quixote
Essays;Michel de Montaigne;1595;France;French;essais.jpg;https://en.wikipedia.org/wiki/Essays_(Montaigne)
Fairy tales;Hans Christian Andersen;1836;Denmark;Danish;fairy-tales.jpg;https://en.wikipedia.org/wiki/Fairy_Tales_Told_for_Children._First_Collection.
Faust;Johann Wolfgang von Goethe;1832;Saxe-Weimar;German;faust.jpg;https://en.wikipedia.org/wiki/Goethe%27s_Faust
Ficciones;Jorge Luis Borges;1965;Argentina;Spanish;ficciones.jpg;https://en.wikipedia.org/wiki/Ficciones
Gargantua and Pantagruel;François Rabelais;1533;France;French;gargantua-and-pantagruel.jpg;https://en.wikipedia.org/wiki/Gargantua_and_Pantagruel
Great Expectations;Charles Dickens;1861;United Kingdom;English;great-expectations.jpg;https://en.wikipedia.org/wiki/Great_Expectations
Gulliver's Travels;Jonathan Swift;1726;Ireland;English;gullivers-travels.jpg;https://en.wikipedia.org/wiki/Gulliver%27s_Travels
Gypsy Ballads;Federico García Lorca;1928;Spain;Spanish;gypsy-ballads.jpg;https://en.wikipedia.org/wiki/Gypsy_Ballads
Hamlet;William Shakespeare;1603;England;English;hamlet.jpg;https://en.wikipedia.org/wiki/Hamlet
History;Elsa Morante;1974;Italy;Italian;history.jpg;https://en.wikipedia.org/wiki/History_(novel)
Hunger;Knut Hamsun;1890;Norway;Norwegian;hunger.jpg;https://en.wikipedia.org/wiki/Hunger_(Hamsun_novel)
Iliad;Homer;c. 745 BC;Greece;Greek;the-iliad-of-homer.jpg;https://en.wikipedia.org/wiki/Iliad
Independent People;Halldór Laxness;1934;Iceland;Icelandic;independent-people.jpg;https://en.wikipedia.org/wiki/Independent_People
In Search of Lost Time;Marcel Proust;1920;France;French;a-la-recherche-du-temps-perdu.jpg;https://en.wikipedia.org/wiki/In_Search_of_Lost_Time
Invisible Man;Ralph Ellison;1952;United States;English;invisible-man.jpg;https://en.wikipedia.org/wiki/Invisible_Man
Jacques the Fatalist;Denis Diderot;1796;France;French;jacques-the-fatalist.jpg;https://en.wikipedia.org/wiki/Jacques_the_Fatalist
